Role,Skill,Roadmap_Steps
Data Analyst,Machine Learning,"[""Week 1: Introduction to Machine Learning Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Machine Learning"", ""Week 3: Advanced Machine Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Machine Learning""]"
Data Analyst,Data Analysis,"[""Week 1: Introduction to Data Analysis Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Analysis"", ""Week 3: Advanced Data Analysis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Analysis""]"
Data Scientist,MacOS,"[""Week 1: Introduction to MacOS Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in MacOS"", ""Week 3: Advanced MacOS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using MacOS""]"
Mobile App Developer,Ansible,"[""Week 1: Introduction to Ansible Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ansible"", ""Week 3: Advanced Ansible Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ansible""]"
Graphic Designer,Kotlin,"[""Week 1: Introduction to Kotlin Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kotlin"", ""Week 3: Advanced Kotlin Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kotlin""]"
Backend Developer,Bitbucket,"[""Week 1: Introduction to Bitbucket Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bitbucket"", ""Week 3: Advanced Bitbucket Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bitbucket""]"
Content Creator,Power BI,"[""Week 1: Introduction to Power BI Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Power BI"", ""Week 3: Advanced Power BI Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Power BI""]"
Content Creator,Ansible,"[""Week 1: Introduction to Ansible Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ansible"", ""Week 3: Advanced Ansible Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ansible""]"
Data Analyst,Windows,"[""Week 1: Introduction to Windows Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Windows"", ""Week 3: Advanced Windows Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Windows""]"
Network Engineer,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Network Engineer,NumPy,"[""Week 1: Introduction to NumPy Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NumPy"", ""Week 3: Advanced NumPy Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NumPy""]"
Mobile App Developer,Azure,"[""Week 1: Introduction to Azure Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Azure"", ""Week 3: Advanced Azure Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Azure""]"
Data Scientist,Sketch,"[""Week 1: Introduction to Sketch Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Sketch"", ""Week 3: Advanced Sketch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Sketch""]"
Data Analyst,TypeScript,"[""Week 1: Introduction to TypeScript Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in TypeScript"", ""Week 3: Advanced TypeScript Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using TypeScript""]"
Technical Recruiter,Swift,"[""Week 1: Introduction to Swift Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Swift"", ""Week 3: Advanced Swift Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Swift""]"
Blockchain Developer,Solidity,"[""Week 1: Introduction to Solidity Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Solidity"", ""Week 3: Advanced Solidity Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Solidity""]"
Database Administrator,Agile,"[""Week 1: Introduction to Agile Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Agile"", ""Week 3: Advanced Agile Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Agile""]"
Technical Recruiter,Solidity,"[""Week 1: Introduction to Solidity Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Solidity"", ""Week 3: Advanced Solidity Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Solidity""]"
Full Stack Developer,Network Security,"[""Week 1: Introduction to Network Security Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Network Security"", ""Week 3: Advanced Network Security Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Network Security""]"
Scrum Master,Blockchain,"[""Week 1: Introduction to Blockchain Fundamentals & Setup for Scrum Master"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Blockchain"", ""Week 3: Advanced Blockchain Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Blockchain""]"
Scrum Master,Bitbucket,"[""Week 1: Introduction to Bitbucket Fundamentals & Setup for Scrum Master"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bitbucket"", ""Week 3: Advanced Bitbucket Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bitbucket""]"
IT Support Specialist,ASP.NET,"[""Week 1: Introduction to ASP.NET Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in ASP.NET"", ""Week 3: Advanced ASP.NET Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using ASP.NET""]"
Full Stack Developer,Google Cloud,"[""Week 1: Introduction to Google Cloud Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Google Cloud"", ""Week 3: Advanced Google Cloud Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Google Cloud""]"
Data Scientist,Google Cloud,"[""Week 1: Introduction to Google Cloud Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Google Cloud"", ""Week 3: Advanced Google Cloud Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Google Cloud""]"
Technical Writer,NumPy,"[""Week 1: Introduction to NumPy Fundamentals & Setup for Technical Writer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in NumPy"", ""Week 3: Advanced NumPy Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using NumPy""]"
Digital Marketer,GitHub,"[""Week 1: Introduction to GitHub Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitHub"", ""Week 3: Advanced GitHub Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitHub""]"
Digital Marketer,Vue.js,"[""Week 1: Introduction to Vue.js Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Vue.js"", ""Week 3: Advanced Vue.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Vue.js""]"
Technical Recruiter,Power BI,"[""Week 1: Introduction to Power BI Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Power BI"", ""Week 3: Advanced Power BI Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Power BI""]"
Machine Learning Engineer,C#,"[""Week 1: Introduction to C# Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C#"", ""Week 3: Advanced C# Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C#""]"
Database Administrator,Redis,"[""Week 1: Introduction to Redis Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Redis"", ""Week 3: Advanced Redis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Redis""]"
Mobile App Developer,Natural Language Processing,"[""Week 1: Introduction to Natural Language Processing Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Natural Language Processing"", ""Week 3: Advanced Natural Language Processing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Natural Language Processing""]"
Accountant,Smart Contracts,"[""Week 1: Introduction to Smart Contracts Fundamentals & Setup for Accountant"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Smart Contracts"", ""Week 3: Advanced Smart Contracts Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Smart Contracts""]"
Security Analyst,Figma,"[""Week 1: Introduction to Figma Fundamentals & Setup for Security Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Figma"", ""Week 3: Advanced Figma Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Figma""]"
HR Manager,Illustrator,"[""Week 1: Introduction to Illustrator Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Illustrator"", ""Week 3: Advanced Illustrator Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Illustrator""]"
HR Manager,PostgreSQL,"[""Week 1: Introduction to PostgreSQL Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PostgreSQL"", ""Week 3: Advanced PostgreSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PostgreSQL""]"
Content Creator,Ethereum,"[""Week 1: Introduction to Ethereum Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ethereum"", ""Week 3: Advanced Ethereum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ethereum""]"
Database Administrator,Ethereum,"[""Week 1: Introduction to Ethereum Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ethereum"", ""Week 3: Advanced Ethereum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ethereum""]"
Product Manager,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
System Administrator,Bitbucket,"[""Week 1: Introduction to Bitbucket Fundamentals & Setup for System Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bitbucket"", ""Week 3: Advanced Bitbucket Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bitbucket""]"
Product Manager,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Video Editor,Ruby,"[""Week 1: Introduction to Ruby Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ruby"", ""Week 3: Advanced Ruby Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ruby""]"
Content Creator,MySQL,"[""Week 1: Introduction to MySQL Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in MySQL"", ""Week 3: Advanced MySQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using MySQL""]"
HR Manager,Data Visualization,"[""Week 1: Introduction to Data Visualization Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Visualization"", ""Week 3: Advanced Data Visualization Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Visualization""]"
Mobile App Developer,Go,"[""Week 1: Introduction to Go Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Go"", ""Week 3: Advanced Go Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Go""]"
Software Engineer,Bash,"[""Week 1: Introduction to Bash Fundamentals & Setup for Software Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bash"", ""Week 3: Advanced Bash Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bash""]"
